Carry-in Site,Breakfast Start,Breakfast End,Lunch Start,Lunch End
438,DIA,7:05 AM,8:32 AM,10:32 AM
801,DIA,7:15 AM,9:15 AM,11:15 AM
490,7:00 AM,8:00 AM,10:15 AM,11:15 AM
477,DIA,7:15 AM,9:15 AM,11:15 AM
110,DIA,6:55 AM,8:40 AM,10:40 AM
316,6:25 AM,7:25 AM,9:15 AM,10:15 AM
158,DIA,8:15 AM,8:40 AM,10:40 AM
999,n/a,n/a,9:45 AM,10:45 AM
488,5:45 AM,6:45 AM,9:45 AM,10:45 AM
605,DIA,6:45 AM,8:35 AM,10:35 AM
383,6:25 AM,7:25 AM,10:55 AM,11:55 AM
436,DIA,7:15 AM,9:30 AM,11:30 AM
499,7:30 AM,7:45 AM,11:15 AM,11:30 AM
516,DIA,7:15 AM,8:45 AM,10:45 AM
750,n/a,n/a,9:45 AM,10:45 AM
203,DIA,7:45 AM,2:50 AM,10:50 AM
223,DIA,8:05 AM,3:15 AM,11:15 AM
532,6:30 AM,7:30 AM,10:50 AM,11:50 AM
515,6:30 AM,7:30 AM,10:50 AM,11:50 AM
497,DIA,7:30 AM,10:00 AM,11:00 AM
602,7:30 AM,7:45 AM,11:30 AM,11:45 AM
891,n/a,n/a,8:15 AM,9:15 AM
252,DIA,8:15 AM,3:45 AM,11:45 AM
328,DIA,7:30 AM,8:45 AM,10:45 AM
604,6:15 AM,7:15 AM,9:30 AM,10:30 AM
192,DIA,7:45 AM,8:45 AM,10:45 AM
178,DIA,7:45 AM,2:30 AM,10:30 AM
264,DIA,7:15 AM,2:45 AM,10:45 AM
478,7:30 AM,7:45 AM,10:00 AM,10:15 AM
479,6:45 AM,7:45 AM,9:35 AM,10:35 AM
212,DIA,7:15 AM,9:00 AM,11:00 AM
213,8:00 AM,8:15 AM,11:30 AM,11:45 AM
533,DIA,7:55 AM,9:30 AM,11:30 AM
473,DIA,7:15 AM,8:45 AM,10:45 AM
426,DIA,7:15 AM,8:30 AM,10:30 AM
168,DIA,6:45 AM,9:15 AM,11:15 AM
509,DIA,7:15 AM,10:59 AM,11:14 AM
117,DIA,7:45 AM,8:35 AM,10:35 AM
161,DIA,8:15 AM,8:45 AM,10:45 AM
179,DIA,7:45 AM,8:15 AM,10:15 AM
181,6:10 AM,7:10 AM,9:45 AM,10:45 AM
522,6:15 AM,7:15 AM,9:56 AM,10:56 AM
