Prep Site,Carry-In Site 1,Carry-In Site 2
450,604,
450,604,
292,181,
292,181,
423,490,
423,490,
423,477,801
423,477,801
214,192,
214,192,
437,252,
218,999,
984,394,
682,891,
682,532,602
682,515,
682,602,
682,497,515
682,532,
461,479,478
461,479,478
451,213,
451,212,
451,212,213
981,110,
981,110,
405,264,
258,179,
258,179,
248,168,
301,438,
408,316,158
408,158,316
982,516,
982,516,
464,499,
464,499,
464,436,
412,223,203
419,522,
419,522,
424,509,
455,383,
455,605,383
455,488,
455,488,605
150,161,
150,161,
190,750,
415,426,
415,426,473
971,117,
971,117,
275,533,
278,178,
457,328,
457,328,
