ObjectID,Total_TravelTime,Total_Kilometers,Origin_School,Dest_School,,,
1,0,0,981,981,1962,,663
2,2.808521276,1.806975828,981,110,1091,,
3,2.808521276,1.806975828,981,532,1513,,
4,3.194954086,2.368472639,981,424,1405,,
5,3.767770231,2.244163392,981,419,1400,,
6,4.231906234,3.118100701,981,522,1503,,
7,5.589676511,3.932287784,981,258,1239,,
8,6.023635831,4.05271873,981,150,1131,,
9,6.854946782,5.439207128,981,117,1098,,
10,7.412739355,4.66972919,981,179,1160,,
11,8.777987313,8.511600107,981,161,1142,,
12,8.821100711,8.836913439,981,971,1952,,
13,8.908196156,10.06340822,981,181,1162,,
14,9.481932792,6.03438798,981,292,1273,,
15,11.04525692,11.71893075,981,509,1490,,
16,12.06488465,11.83788858,981,301,1282,,
17,15.27563189,14.78318974,981,438,1419,,
18,15.31437491,16.09870619,981,533,1514,,
19,15.49405764,15.88878107,981,275,1256,,
20,16.91908565,17.12705916,981,490,1471,,
21,18.02345122,18.31708184,981,423,1404,,
22,18.11959132,18.24331208,981,477,1458,,
23,18.11959132,18.24331208,981,801,1782,,
24,18.47640792,18.84449271,981,192,1173,,
25,18.81435674,18.42560363,981,213,1194,,
26,19.45617795,19.59040537,981,248,1229,,
27,20.31623144,20.04232519,981,464,1445,,
28,20.63893955,20.23372428,981,436,1417,,
29,20.90805655,20.18720064,981,451,1432,,
30,22.34332992,28.09456146,981,457,1438,,
31,22.34332992,28.09456146,981,750,1731,,
32,22.62552858,23.74999408,981,455,1436,,
33,23.16690539,20.80781392,981,499,1480,,
34,23.20065508,21.62726434,981,168,1149,,
35,23.791263,30.06402752,981,328,1309,,
36,23.88796172,25.03664067,981,605,1586,,
37,23.91295979,24.4854695,981,488,1469,,
38,24.53356441,24.8891463,981,383,1364,,
39,24.97013613,31.54814632,981,412,1393,,
40,25.99215511,23.06658194,981,891,1872,,
41,26.32543444,23.10258232,981,214,1195,,
42,27.01400084,24.13021575,981,190,1171,,
43,27.12665678,32.6390926,981,223,1204,,
44,27.20255499,28.35221338,981,479,1460,,
45,27.20255499,28.35221338,981,478,1459,,
46,27.37723823,29.29742089,981,426,1407,,
47,27.52709491,27.54061055,981,218,1199,,
48,27.63058821,35.39273859,981,203,1184,,
49,27.65676209,31.15742508,981,461,1442,,
50,28.00118914,29.16694374,981,0,981,,
51,28.10634604,35.58658884,981,405,1386,,
52,28.31170361,29.69099026,981,415,1396,,
53,28.31170361,29.69099026,981,999,1980,,
54,28.49263777,35.56722349,981,178,1159,,
55,28.49263777,35.56722349,981,252,1233,,
56,28.56399082,25.09453709,981,497,1478,,
57,28.85329311,35.92147461,981,264,1245,,
58,28.87472649,36.92545993,981,437,1418,,
59,29.07829691,28.57233725,981,515,1496,,
60,29.23542086,25.3708671,981,682,1663,,
61,29.61575966,25.57805082,981,602,1583,,
62,29.76211274,36.87750745,981,278,1259,,
63,29.90616681,29.94967463,981,473,1454,,
64,31.82964468,31.40749763,981,316,1297,,
65,31.951314,31.30716182,981,516,1497,,
66,32.01406065,31.15489768,981,408,1389,,
67,32.01406065,31.15489768,981,158,1139,,
68,33.94701447,37.67181129,981,984,1965,,
69,34.31181768,34.0878024,981,982,1963,,
70,35.17351936,33.56331944,981,450,1431,,
71,35.27951105,38.63473721,981,394,1375,,
72,35.73655928,33.97221908,981,604,1585,,
73,0,0,0,0,0,,
74,2.313689309,1.165215307,0,479,479,,
75,2.313689309,1.165215307,0,478,478,,
76,3.190778959,1.793130938,0,426,426,,
77,4.125244345,2.18670031,0,415,415,,
78,4.125244345,2.18670031,0,999,999,,
79,4.148611596,2.155901104,0,602,602,,
80,4.470384247,2.331175451,0,497,497,,
81,4.854446804,2.375119129,0,682,682,,
82,6.075686493,3.557897192,0,278,278,,
83,6.245141227,3.297200664,0,437,437,,
84,6.960872891,4.424215604,0,218,218,,
85,7.438455334,5.408798893,0,515,515,,
86,7.487874038,5.050393693,0,473,473,,
87,7.827566976,4.148600313,0,891,891,,
88,8.352977055,4.66337931,0,455,455,,
89,8.359934973,4.740869301,0,214,214,,
90,8.705493417,5.475855123,0,264,264,,
91,8.799413448,5.656763498,0,316,316,,
92,8.921082766,5.556427687,0,516,516,,
93,8.983829421,5.404163546,0,408,408,,
94,8.983829421,5.404163546,0,158,158,,
95,8.990678221,5.911597114,0,203,203,,
96,8.992335171,6.58988603,0,488,488,,
97,9.166543488,5.746406421,0,405,405,,
98,9.929629587,7.098421439,0,383,383,,
99,10.03826357,6.277187596,0,190,190,,
100,10.14905375,6.311869753,0,178,178,,
101,10.14905375,6.311869753,0,252,252,,
102,10.49867908,8.777072537,0,412,412,,
103,11.24704754,7.824167684,0,605,605,,
104,11.28224965,5.378636478,0,168,168,,
105,11.37168693,5.498046905,0,499,499,,
106,11.38041196,9.184526298,0,982,982,,
107,11.68798777,8.222973612,0,223,223,,
108,12.01973692,8.466087462,0,450,450,,
109,12.04782826,10.94971145,0,328,328,,
110,12.27554366,6.915347306,0,451,451,,
111,12.29927379,9.787694899,0,984,984,,
112,12.51490465,6.342819924,0,436,436,,
113,12.58277685,8.8749871,0,604,604,,
114,12.80576966,12.40937329,0,457,457,,
115,12.80576966,12.40937329,0,750,750,,
116,12.86761888,6.571605299,0,464,464,,
117,13.22048566,7.635463357,0,248,248,,
118,14.1181043,8.303069428,0,192,192,,
119,14.65338239,12.16268504,0,394,394,,
120,14.85984902,8.830951801,0,423,423,,
121,15.53009398,9.081809263,0,477,477,,
122,15.53009398,9.081809263,0,801,801,,
123,15.76141181,8.967313894,0,213,213,,
124,16.82623023,14.42248219,0,490,490,,
125,17.56609627,11.17388544,0,533,533,,
126,18.84575001,11.59333915,0,275,275,,
127,20.06918901,11.59585028,0,438,438,,
128,21.6710881,24.58074861,0,461,461,,
129,23.13137377,21.24344045,0,181,181,,
130,23.71487292,28.99116211,0,509,509,,
131,24.82681439,22.06846125,0,301,301,,
132,25.22555085,22.46969863,0,161,161,,
133,25.26866425,22.79501196,0,971,971,,
134,26.0300777,23.47782232,0,292,292,,
135,27.21002249,23.75442184,0,179,179,,
136,27.73214812,28.55714544,0,981,981,,
