Origin,Destination,Travel Time,Kilometers
117,117,0,0
117,522,3.405141793,2.604232237
117,110,5.569646606,4.551864757
117,981,6.605942105,5.56082877
117,419,7.270342096,4.741921491
117,424,8.227803203,6.56307262
117,509,8.376297921,7.937758593
117,179,9.679323704,8.138764459
117,258,10.12248843,8.363457321
117,971,11.33198842,13.08947535
117,150,11.49379798,9.55307531
117,292,11.62828262,9.756281925
117,161,12.00803283,10.97240685
117,181,12.89904918,11.52993892
117,301,17.19998998,16.07064075
117,438,19.80694948,19.7315998
117,275,20.02065958,20.3718093
117,533,20.38660995,20.53404515
117,423,21.68954342,22.46416513
117,490,22.46612364,22.71320731
117,801,22.83432961,23.22513797
117,248,23.45481343,23.59924315
117,212,25.32200231,24.42022644
117,436,25.33016566,25.2140795
117,477,25.37565331,25.25228268
117,464,26.2731467,25.61079695
117,457,26.87564564,32.09560639
117,451,26.9927759,26.29817725
117,488,28.09975281,29.04428646
117,499,28.34712557,26.9981031
117,455,28.52010733,29.43522345
117,605,28.56498858,29.43008721
117,328,28.66162618,35.83595122
117,168,28.77105615,27.0035583
117,192,29.36516106,27.20256983
117,383,29.91941018,30.21970667
117,750,30.54381849,37.32302599
117,412,30.80847832,37.41143416
117,190,30.9061077,32.71662164
117,223,31.2163025,37.7238508
117,218,31.23949702,31.95140373
117,479,31.45844704,31.83320491
117,602,31.5073334,28.65374061
117,891,31.88659859,32.50575783
117,214,31.98151909,28.7079108
117,478,32.14650414,33.42989492
117,203,32.58776992,40.57027432
117,405,33.00294631,40.52480935
117,264,33.02081577,40.58402714
117,999,33.17544935,33.24854247
117,461,33.198314,34.43921958
117,252,33.23008595,41.00843544
117,178,33.3755415,29.92314065
117,0,33.43165366,33.2298914
117,426,33.47031485,35.26213988
117,497,33.72021573,30.23510143
117,515,33.77624052,32.55962289
117,415,33.80228912,35.36094616
117,682,33.92506006,30.31402187
117,532,34.10167073,32.52811981
117,278,34.75341016,41.89692995
117,473,35.03586887,35.80959791
117,316,35.30904842,35.20509491
117,437,35.32801812,42.8694685
117,408,36.35068383,36.03499821
117,158,37.09003318,36.49813541
117,982,37.28144463,36.64712999
117,394,39.4039945,42.83850969
117,516,39.75121833,38.0959502
117,450,40.10529153,38.63470401
117,604,41.26621751,40.89704185
117,984,41.56662274,43.28196728
110,110,0,0
110,981,2.06532296,1.497476079
110,419,3.537822271,2.609883514
110,522,4.369670761,4.144936661
110,424,4.953537332,3.790667524
110,509,4.968476827,4.185161362
110,117,5.487587538,4.556076909
110,258,6.701744376,4.794151782
110,179,7.659291297,6.465879921
110,150,7.739092737,5.801871687
110,971,7.924167325,9.336878123
110,181,9.548349944,9.780066129
110,292,9.608250217,8.083397387
110,161,9.971485009,10.11785714
110,301,13.79216889,12.31804352
110,438,16.39912839,15.97900257
110,275,16.61283849,16.61921207
110,533,16.97878886,16.78144792
110,423,18.28172232,18.7115679
110,490,19.05830254,18.96061008
110,801,19.42650851,19.47254073
110,248,20.04699234,19.84664592
110,212,21.91418122,20.66762921
110,436,21.92234457,21.46148227
110,477,21.96783222,21.49968545
110,464,22.86532561,21.85819972
110,457,23.46782454,28.34300916
110,451,23.58495481,22.54558002
110,488,24.69193171,25.29168923
110,499,24.93930448,23.24550587
110,455,25.11228624,25.68262622
110,605,25.15716749,25.67748998
110,328,25.25380508,32.08335399
110,168,25.36323506,23.25096107
110,192,25.95733997,23.4499726
110,383,26.51158908,26.46710944
110,750,27.13599739,33.57042876
110,412,27.40065722,33.65883693
110,190,27.4982866,28.96402441
110,223,27.8084814,33.97125357
110,218,27.83167592,28.1988065
110,479,28.05062594,28.08060768
110,602,28.09951231,24.90114338
110,891,28.47877749,28.7531606
110,214,28.573698,24.95531357
110,478,28.73868305,29.67729769
110,203,29.17994883,36.81767709
110,405,29.59512522,36.77221212
110,264,29.61299468,36.83142991
110,999,29.76762826,29.49594524
110,461,29.79049291,30.68662235
110,252,29.82226485,37.25583821
110,178,29.96772041,26.17054342
110,0,30.02383257,29.47729417
110,426,30.06249375,31.50954265
110,497,30.31239464,26.4825042
110,515,30.36841942,28.80702566
110,415,30.39446803,31.60834893
110,682,30.51723897,26.56142464
110,532,30.69384964,28.77552258
110,278,31.34558907,38.14433272
110,473,31.62804777,32.05700068
110,316,31.90122733,31.45249768
110,437,31.92019702,39.11687127
110,408,32.94286274,32.28240098
110,158,33.68221208,32.74553818
110,982,33.87362354,32.89453276
110,394,35.99617341,39.08591246
110,516,36.34339724,34.34335297
110,450,36.69747044,34.88210678
110,604,37.85839641,37.14444462
110,984,38.15880165,39.52937005
158,158,0,0
158,408,0.870848284,0.271699932
158,982,1.484003216,0.652739534
158,316,3.978233356,1.72382584
158,516,4.164475182,2.192990711
158,450,4.518548379,2.731744519
158,426,5.041114356,2.762601541
158,415,5.071326462,2.758690815
158,473,6.288458046,2.991352995
158,891,6.518864545,3.697343458
158,394,6.963384236,4.565519572
158,0,7.044819161,3.8115277
158,999,7.139274651,3.828007237
158,604,7.321959759,4.551638864
158,264,7.744108475,4.305562874
158,478,7.95498339,5.080923961
158,252,8.551919114,4.885897824
158,405,8.999864683,5.430052488
158,461,9.006793245,6.090248625
158,984,9.223776538,5.226666644
158,218,9.979353407,5.881809297
158,437,10.60856167,5.824644114
158,203,10.66421362,7.159283779
158,515,11.09266585,7.074435167
158,605,11.15301889,6.842060975
158,479,11.39413172,7.122967643
158,532,11.39503822,7.026428108
158,278,11.59435982,6.430084533
158,682,11.81661474,7.370421786
158,497,11.82139862,7.356744947
158,455,11.90697629,7.36034549
158,488,12.57403372,7.67524599
158,223,12.60359986,9.482104291
158,383,12.70700171,7.699393071
158,328,13.36549529,11.01952974
158,412,13.46180511,9.913769194
158,602,14.55232634,8.809271925
158,214,14.8903756,9.396772541
158,178,14.90111829,8.468054996
158,750,15.24768761,12.50660451
158,457,15.88130032,14.61658443
158,192,16.23899606,10.11537156
158,499,17.25870174,9.99196418
158,168,17.80121814,10.0762452
158,190,17.85280617,14.4962936
158,451,18.18715691,11.21676128
158,490,19.93797346,15.4189985
158,248,19.97151597,15.28150789
158,212,20.17011733,14.26151463
158,423,20.36389821,15.66073883
158,436,21.14395711,14.87167807
158,464,21.94302659,11.75449755
158,477,22.33732258,12.74276859
158,801,22.59048782,18.24075018
158,533,23.9026314,18.79858294
158,275,24.40236138,18.78912974
158,438,27.61308022,23.32111742
158,971,28.11897624,24.48398562
158,181,29.04836516,24.95140833
158,161,29.47150023,25.28919934
158,301,29.89708949,24.91738883
158,292,31.17163994,26.26234646
158,509,32.33962705,28.73055913
158,150,32.45929611,28.78381892
158,981,32.90064809,31.62328553
158,258,33.18551403,29.34380102
158,424,33.48547159,31.82482781
158,179,33.53146733,27.72117507
158,110,34.19300801,32.43229943
158,419,35.33786885,33.23766525
158,522,36.53755823,35.87610246
158,117,37.655475,36.28724271
0,0,0,0
0,891,2.969181386,1.288218141
0,426,3.439704052,1.607565204
