Prep Site,Carry-In Site 1,Carry-In Site 2,Breakfast Time,Lunch Time,Earliest Meal ,Hours after Midnight,Hours After 6am,Raw Buffer,Adjusted Buffer,LB,UB,,
450,604,,7:30:00 AM,10:45:00 AM,7:30:00 AM,7.500,1.5,0,0.5,1,1.25,,
292,181,,7:25:00 AM,11:11:00 AM,7:25:00 AM,7.417,1.416666667,1,1,0.416666667,1.166666667,,Assumptions
423,490,,8:15:00 AM,10:55:00 AM,8:15:00 AM,8.250,2.25,0,0.5,1.75,2,,We base the time you need to arrive at a prep site on the earliest meal served at the first carry in site on the route
423,477,801,7:30:00 AM,10:55:00 AM,7:30:00 AM,7.500,1.5,2,2,0,1.25,,"If theres no time for when meals are served, we assume we should get there at 8 am (only school 889)"
214,192,,8:00:00 AM,10:50:00 AM,8:00:00 AM,8.000,2,2,2,0,1.75,,All vans will leave at 6am from evie dennis
437,252,,8:30:00 AM,11:00:00 AM,8:30:00 AM,8.500,2.5,24,24,0,2.25,,The earliest meals can be delivered is 2 hours before (even if its 24 hours)
218,999,,n/a,11:00:00 AM,11:00:00 AM,11.000,5,0,0.5,4.5,4.75,,We're delivering all the meals at once for every school (we visit each carry in site and prep site once) 
888,889,,8:00:00 AM,#N/A,8:00:00 AM,8.000,2,2,2,0,1.75,,"If a school doesn't have any information about how early they can get meals, we assume they have to get them between 30 minutes and 15 minutes before"
682,891,,9:30:00 AM,10:50:00 AM,9:30:00 AM,9.500,3.5,0,0.5,3,3.25,,
682,515,,7:45:00 AM,11:00:00 AM,7:45:00 AM,7.750,1.75,1,1,0.75,1.5,,
682,602,,8:00:00 AM,11:15:00 AM,8:00:00 AM,8.000,2,0.25,0.25,1.75,1.75,,
682,497,,7:45:00 AM,11:15:00 AM,7:45:00 AM,7.750,1.75,1,1,0.75,1.5,,
682,532,,7:45:00 AM,10:50:00 AM,7:45:00 AM,7.750,1.75,1,1,0.75,1.5,,
461,479,478,8:00:00 AM,11:11:00 AM,8:00:00 AM,8.000,2,1,1,1,1.75,,
451,213,,8:30:00 AM,12:00:00 AM,8:30:00 AM,8.500,2.5,0.25,0.25,2.25,2.25,,
451,212,,7:30:00 AM,12:00:00 AM,7:30:00 AM,7.500,1.5,2,2,0,1.25,,
981,110,,7:10:00 AM,12:00:00 PM,7:10:00 AM,7.167,1.166666667,2,2,0,0.916666667,,
405,264,,7:30:00 AM,12:00:00 AM,7:30:00 AM,7.500,1.5,24,24,0,1.25,,
258,179,,8:00:00 AM,12:00:00 AM,8:00:00 AM,8.000,2,2,2,0,1.75,,
248,168,,7:00:00 AM,12:00:00 AM,7:00:00 AM,7.000,1,2,2,0,0.75,,
301,438,,7:20:00 AM,12:00:00 PM,7:20:00 AM,7.333,1.333333333,2,2,0,1.083333333,,
408,316,158,7:40:00 AM,10:45:00 AM,7:40:00 AM,7.667,1.666666667,1,1,0.666666667,1.416666667,,
982,516,,7:30:00 AM,11:30:00 AM,7:30:00 AM,7.500,1.5,2,2,0,1.25,,
464,499,,8:00:00 AM,11:30:00 AM,8:00:00 AM,8.000,2,0.25,0.25,1.75,1.75,,
464,436,,7:30:00 AM,11:30:00 AM,7:30:00 AM,7.500,1.5,2,2,0,1.25,,
412,223,203,8:20:00 AM,11:00:00 AM,8:20:00 AM,8.333,2.333333333,24,24,0,2.083333333,,
419,522,,7:30:00 AM,12:00:00 AM,7:30:00 AM,7.500,1.5,1,1,0.5,1.25,,
424,509,,7:30:00 AM,12:00:00 AM,7:30:00 AM,7.500,1.5,0.25,0.25,1.25,1.25,,
455,383,,7:40:00 AM,11:00:00 AM,7:40:00 AM,7.667,1.666666667,1,1,0.666666667,1.416666667,,
455,605,,7:00:00 AM,11:00:00 AM,7:00:00 AM,7.000,1,2,2,0,0.75,,
455,488,,7:00:00 AM,11:00:00 AM,7:00:00 AM,7.000,1,1,1,0,0.75,,
150,161,,8:30:00 AM,12:00:00 AM,8:30:00 AM,8.500,2.5,2,2,0.5,2.25,,
190,750,,n/a,12:00:00 AM,12:00:00 AM,12.000,6,1,1,5,5.75,,
415,426,,7:30:00 AM,12:00:00 AM,7:30:00 AM,7.500,1.5,0,0.5,1,1.25,,
415,473,,7:30:00 AM,12:00:00 AM,7:30:00 AM,7.500,1.5,2,2,0,1.25,,
971,117,,8:00:00 AM,12:00:00 AM,8:00:00 AM,8.000,2,2,2,0,1.75,,
275,533,,8:10:00 AM,12:00:00 AM,8:10:00 AM,8.167,2.166666667,0,0.5,1.666666667,1.916666667,,
278,178,,8:00:00 AM,12:00:00 AM,8:00:00 AM,8.000,2,24,24,0,1.75,,
457,328,,7:45:00 AM,12:00:00 AM,7:45:00 AM,7.750,1.75,2,2,0,1.5,,
,,,,,,,,,,,,,
,,,Breakfast for site1,Lunch for site 1,Earliest meal that exists ,Convert earliest meal time to hours,How many hours until the meal begins (assuming we're currently at 6 am),How many hours early we can deliver the meal (some missing values),"Same as previous column, but missing values means we can deliver the meal 30 minutes early at most","This is the important one. Defines lower bound for the time window we can deliver the meals. If it says like 1 then that means we can deliver the meal at most 1 hour after 6 am so 7 am. Notice that we ignore negative time windows, that means if we can deliver the meal before 6am we just assume we can deliver it earliest at 6am. ","This is the other important one, it's the upper bound. It shows us the latest we can deliver a meal. So if says like 1.25, that means the latest we can deliver the meal here is 1.25 hours after 6 so like 7:15",,
